dataset_part;id;smiles1;smiles2;parts_1;parts_2;total_parts
data0000;17532;CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CNCN1)NC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0000;21843;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCC(N)O)NC(O)C(CCC(O)O)NC(C)O;2;1;3
data0000;33724;CNC(O)C(CC1CNC2CCCCC12)NC(C)O.CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0000;35909;CNC(O)C(CS)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CO)NC(C)O;1;2;3
data0000;43444;CNC(O)CNC(O)C1CCCN1C(O)CNC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0001;21859;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCC(N)O)NC(C)O;CCC(C)C(NC(C)O)C(O)NC;2;1;3
data0001;22058;CNC(O)C(C)NC(C)O.CNC(O)C(CC(C)C)NC(C)O;CNC(O)C(CC1CCCCC1)NC(C)O;2;1;3
data0001;32648;CCC(C)C(NC(O)C(CC1CNCN1)NC(C)O)C(O)NC(CC(C)C)C(O)NC.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0001;35201;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0002;16472;NC1NCNC2C1NCN2C1OC(CO[PH](O)(O)O)C(O)C1O;NC1CCN(C2OC(CO[PH](O)(O)OC3C(CO[PH](O)(O)O)OC(N4CNC5C(O)NC(N)NC54)C3O)C(O)C2O)C(O)N1.OC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;1;2;3
data0002;19373;CNC(O)C(CC(C)C)NC(C)O.CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(C)NC(C)O;2;1;3
data0002;22809;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(NC(C)O)C(C)O;2;1;3
data0002;35621;CNC(O)C(NC(O)CNC(O)CNC(O)C(C)NC(O)C(C)NC(O)C(CC(O)O)NC(C)O)C(C)O.NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)C(O)C3O)C2N1;CNC(O)C(NC(O)C1CCCN1C(C)O)C(C)O;2;1;3
data0002;39399;CNC(O)C(CCCCN)NC(C)O.O[PH](O)(O)OC1C(O[PH](O)(O)O)C(O[PH](O)(O)O)C(O[PH](O)(O)O[PH](O)(O)O)C(O[PH](O)(O)O)C1O[PH](O)(O)O;CNC(O)C(NC(O)C(CO)NC(C)O)C(C)O;2;1;3
data0003;6123;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C1CCCN1C(O)CNC(C)O;CNC(O)C(NC(O)CNC(O)C(CO)NC(C)O)C(C)C;2;1;3
data0003;18254;CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;1;2;3
data0003;23270;CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(NC(C)O)C(C)O.CNC(O)C(CCC(O)O)NC(C)O;1;2;3
data0003;33357;CNC(O)C(CCC(N)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0004;1236;CNC(O)CNC(C)O;CCC(C)C(NC(O)C(C)NC(C)O)C(O)NC(CCC(O)O)C(O)NC.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0004;17490;CNC(O)C(CCC(O)O)NC(O)C(CC(C)C)NC(C)O.O[PH](O)(O)OC1C(O[PH](O)(O)O)C(O[PH](O)(O)O)C(O[PH](O)(O)O[PH](O)(O)O)C(O[PH](O)(O)O)C1O[PH](O)(O)O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0004;30066;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;CC(O)NC1C(OC(CO[PH](O)(O)OCC(O)C(O)C(C)O)C(O)C(O)CO[PH](O)(O)OCC(O)C(O)C(O)CO)OC(CO)C(O)C1O.CNC(O)C(CC(O)O)NC(O)CNC(C)O;1;2;3
data0004;32105;CNC(O)C(CC(N)O)NC(C)O;NC1NCNC2C1NCN2C1OC(CO[PH](O)(O)O)C(O)C1O.OC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;1;2;3
data0004;34244;CNC(O)C(CC(C)C)NC(C)O.COC1CCC2C(C1)OC1C3CCC(O)CC3OCC21;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0004;48337;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CC1CNCN1)NC(O)C(CCC(O)O)NC(C)O;CNC(O)C(CC1CNCN1)NC(C)O;2;1;3
data0005;18715;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)CNC(O)C(NC(C)O)C(C)O;2;1;3
data0005;40247;CNC(O)C(CC(N)O)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)CNC(C)O;1;2;3
data0005;41999;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCC(O)O)NC(O)C(CCCCN)NC(C)O;CNC(O)C(CCCCN)NC(C)O;2;1;3
data0005;48801;CNC(O)C1CCCN1C(O)C(CC(C)C)NC(C)O.O;CNC(O)C(CC1CCCCC1)NC(O)C(CC(C)C)NC(C)O;2;1;3
data0006;1274;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCSC)NC(C)O;2;1;3
data0006;15094;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(O)C(CCC(O)O)NC(C)O)C(C)C;CNC(O)C1CCCN1C(C)O;2;1;3
data0006;19784;CNC(O)CNC(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(NC(C)O)C(C)O;1;2;3
data0006;24799;CCNC(O)C(NC(O)C(CCC(O)O)NC(O)CNC(O)C(CC(N)O)NC(C)O)C(C)O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0006;31030;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O;2;1;3
data0006;45535;CNC(O)C(CC(C)C)NC(C)O;CNC(O)C(CC(N)O)NC(C)O.CNC(O)C(CC1CNC2CCCCC12)NC(O)C(CCCCN)NC(C)O;1;2;3
data0006;47643;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C(CCC(N)O)NC(C)O;CNC(O)C(NC(C)O)C(C)O;2;1;3
data0007;22868;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0008;323;CNC(O)C(CC(C)C)NC(C)O;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(CCSC)NC(O)CNC(O)C(CC(O)O)NC(O)C(CCC(O)O)NC(C)O;1;2;3
data0008;18666;CNC(O)C(CCCCN)NC(C)O.CNC(O)CNC(C)O;CNC(O)C(CC1CCCCC1)NC(C)O;2;1;3
data0008;31553;CC1(C)CCCN1CCNC(O)CN1C(O)NNC1O.CNC(O)C1CCCN1C(O)C(NC(O)C1CCCN1C(C)O)C(C)O;CNC(O)CNC(O)CNC(O)C(CC(N)O)NC(O)C(CC(C)C)NC(O)CNC(O)C(CC1CCC(O)CC1)NC(O)CNC(O)CNC(O)CNC(O)C(CO)NC(C)O;2;1;3
data0008;38648;CNC(O)C(NC(C)O)C(C)C;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C1CCCN1C(O)C(CCC(O)O)NC(C)O;1;2;3
data0008;49103;CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CCCCN)NC(O)C(CC(O)O)NC(O)CNC(C)O.CNC(O)C(CO)NC(O)C(CCC(N)O)NC(O)C(CCC(O)O)NC(C)O;1;2;3
data0009;2862;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0009;8087;CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCCCN)NC(C)O;1;2;3
data0009;15222;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(N)O)NC(C)O;2;1;3
data0009;16955;CNC(O)C(CC(O)O)NC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0009;27633;CNC(O)C(CC(N)O)NC(C)O.CNC(O)C(CO)NC(O)C(CCSC)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O;2;1;3
data0009;34682;CNC(O)C1CCCN1C(C)O;CNC(O)C(CCCCN)NC(O)C(CC(C)C)NC(C)O.CNC(O)C(NC(C)O)C(C)C;1;2;3
data0009;46810;CNC(O)C(CCC(N)O)NC(C)O.NC1NC(O)C2NCN(C3OC(COP(O)O)C(O)C3O)C2N1;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0010;8179;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0010;19560;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C1CCCN1C(C)O;CNC(O)C(CCCCN)NC(O)C(CC1CNCN1)NC(C)O;2;1;3
data0010;46484;CNC(O)CNC(C)O;CNC(O)C(CO)NC(C)O.CNC(O)C(CO)NC(O)C(CC1CCC(O)CC1)NC(C)O;1;2;3
data0011;3105;CNC(O)C(CCC(N)O)NC(C)O;CCC(C)C(NC(C)O)C(O)NC.CNC(O)C(CCC(O)O)NC(O)C(CCCCN)NC(C)O;1;2;3
data0011;13870;CNC(O)C(CCC(O)O)NC(C)OOC(NC)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(O)C(CCC(O)O)NC(O)C(CS)NC(C)O;CNC(O)C(CCC(N)O)NC(O)C(CC(N)O)NC(C)O;2;1;3
data0011;24954;CC1CN(C2CC(O)C(CO[PH](O)(O)O)O2)C(O)NC1O.CNC(O)C(NC(C)O)C(C)C;CNC(O)C(CCCCN)NC(C)O;2;1;3
data0011;33095;CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(N)O)NC(O)CNC(O)C(CCC(O)O)NC(O)C(CC1CNCN1)NC(O)C(CC(O)O)NC(C)O.O;1;2;3
data0011;39740;CC1NC(O)NC(C2CCCCC2OCC2CCCCC2)C1C(O)OCC1CCC2OCOC2C1.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCCCN)NC(C)O;CNC(O)C(CC1CNCN1)NC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0011;41775;CC1NNSC1CNCC(C)N(C)C(O)C(C)N1CNCN1.CNC(O)C(NC(O)C(NC(O)C(CC(C)C)NC(C)O)C(C)O)C(C)O;CNC(O)C(CC1CNCN1)NC(C)O;2;1;3
data0011;44719;NC1CCN(C2OC(CO[PH](O)(O)OC3C(CO[PH](O)(O)OC4C(CO[PH](O)(O)O)OC(N5CNC6C(N)NCNC65)C4O)OC(N4CNC5C(O)NC(N)NC54)C3O)C(O)C2O)C(O)N1;NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1.NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;1;2;3
data0012;15812;CNC(O)C(NC(C)O)C(C)C;CNC(O)C(C)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CS)NC(C)O;1;2;3
data0012;17427;CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CC1CNCN1)NC(O)C(CCC(O)O)NC(O)C1CCCN1C(O)C(CC(N)O)NC(C)O.O;1;2;3
data0012;37034;CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.O;1;2;3
data0012;47797;CNC(O)C(CC1CCCCC1)NC(O)C(CCCCN)NC(C)O.CNC(O)C(CCC(O)O)NC(O)C1CCCN1C(O)C(CCC(N)O)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
data0013;105;CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)CNC(C)O.O;1;3;4
data0013;5414;CNC(O)C(CCCCN)NC(C)O.CNC(O)C1CCCN1C(C)O;CNC(O)C(CC1CCCCC1)NC(C)O;2;1;3
data0013;28009;CNC(O)C(CCC(O)O)NC(O)C(C)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(N)O)NC(C)O;2;1;3
data0013;35221;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C1CCCN1C(O)C(C)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0013;39646;CNC(O)C(CC(N)O)NC(C)O;CNC(O)C(NC(C)O)C(C)O.CNC(O)C1CCCN1C(C)O;1;2;3
data0013;40610;CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CO)NC(C)O.OS(O)(O)O;1;2;3
data0014;5596;CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(O)O)NC(O)C(CCCCN)NC(C)O.O;1;2;3
data0014;8309;CNC(O)C(CO)NC(C)O.CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CS)NC(C)O;2;1;3
data0014;16228;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(O)CNC(O)C(CCC(O)O)NC(C)O)C(C)C;CNC(O)C(CC(C)C)NC(O)C(CCCNC(N)N)NC(O)C1CCCN1C(O)C(CC(C)C)NC(C)O;2;1;3
data0014;21443;CNC(O)C(CCC(O)O)NC(O)CNC(O)C(CO)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CCC(C)C(NC(O)C(CCCCN)NC(C)O)C(O)NC;2;1;3
data0014;31573;CNC(O)C(NC(O)C(CCCCN)NC(O)C(CO)NC(C)O)C(C)C.CNC(O)C1CCCN1C(O)C(CC(O)O)NC(C)O;OCC(O)CO;2;1;3
data0014;34345;CNC(O)C(CC(C)C)NC(C)O.CNC(O)C(NC(O)C(CCCNC(N)N)NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0014;36570;CCCC1C(C)NC2NC3CCCCC3N2C1O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;2;1;3
data0015;6005;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CO)NC(O)C(CCSC)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCCCN)NC(C)O;2;1;3
data0015;46993;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C(CCC(O)O)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0016;1782;CNC(O)C(C)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C(CCC(O)O)NC(C)O;1;2;3
data0016;18792;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CO)NC(O)C(CO)NC(C)O;1;2;3
data0016;27615;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0016;28058;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0016;34789;CNC(O)C(CC1CCCCC1)NC(O)C(C)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC1CCCCC1)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0016;39927;CNC(O)C(CO)NC(C)O.O;CNC(O)C(CO)NC(C)O;2;1;3
data0017;11692;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(C)O)C(C)C;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0017;25224;CNC(O)C(CC(C)C)NC(O)C(CO)NC(O)C(CCCNC(N)N)NC(O)C(CO)NC(C)O.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0017;25745;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCC(N)O)NC(C)O;CNC(O)C(CCCCN)NC(C)O;2;1;3
data0017;43013;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0018;3011;CCC(C)C(NC(O)C(CCCNC(N)N)NC(C)O)C(O)NC.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0018;15398;CNC(O)C(CCC(O)O)NC(C)O.O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0018;27230;NC1CCN(C2OC(COP(O)O)C(O)C2O)C(O)N1.NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O)C(O)C3O)C2N1;2;1;3
data0018;27807;CNC(O)C(CC1CCCCC1)NC(C)O.CNC(O)CNC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0018;35898;CNC(O)C1CCCN1C(O)C1CCCN1C(O)C(CCC(N)O)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0018;45232;NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1.OC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O)C(O)C3O)C2N1;2;1;3
data0018;48476;CNC(O)C(CCSC)NC(O)C(CCCNC(N)N)NC(C)O.O;CNC(O)C(CC1CCC(O)CC1)NC(O)CNC(O)C1CCCN1C(O)C(NC(C)O)C(C)C.O;2;2;4
data0019;2804;CNC(O)C(CCC(O)O)NC(O)C(CCC(O)O)NC(C)O.O;CNC(O)C(C)NC(C)O;2;1;3
data0019;6361;CNC(O)C1CCCN1C(O)C(CC(O)O)NC(C)O.O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC(C)C)NC(C)O;2;1;3
data0019;9471;CNC(O)CNC(C)O.CNC(O)CNC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0019;10035;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C(NC(O)C(CCC(O)O)NC(C)O)C(C)C;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0019;11973;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0019;39318;CNC(O)C(CC(C)C)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C(NC(C)O)C(C)O;1;2;3
data0019;39549;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCC(O)O)NC(C)O;CNC(O)C(CO)NC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0019;49040;CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;1;2;3
data0020;20564;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0020;27972;CNC(O)C(CC(O)O)NC(C)O.CNC(O)CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
